year,method,start,end,days,final,return_pct,max_drawdown_pct,min_value,floor_breached,max_shortfall,first_exit,rebalance_count,risky_turnover,option_sigma,call_premium,call_units
2018,Buy & Hold,2017-12-29,2018-12-31,251,93.76274026503486,-6.237259734965136,19.778213767806875,87.93728329861119,True,2.0627167013888084,,0,0.0,,,
2018,SLPI,2017-12-29,2018-12-31,251,87.93728329861119,-12.062716701388808,19.778213767806875,87.93728329861119,True,2.0627167013888084,2018-12-24,1,87.9372832986112,,,
2018,CPPI,2017-12-29,2018-12-31,251,97.5476061992414,-2.4523938007585997,6.162668561206319,96.2697634056735,False,0.0,,250,111.94422734394212,,,
2018,TIPP,2017-12-29,2018-12-31,251,98.25335423297818,-1.7466457670218176,5.020906857460094,97.21467763285547,False,0.0,,250,88.5634355886223,,,
2018,Variable m,2017-12-29,2018-12-31,251,96.67259419632649,-3.327405803673514,9.075321450367092,95.70491398208304,False,0.0,,250,417.6357256569539,,,
2018,OBPI (model),2017-12-29,2018-12-31,251,90.0,-10.0,28.61189116392273,90.0,False,0.0,,0,,0.06670114253007703,2.6677737538854203,3.7484438046651145
2019,Buy & Hold,2018-12-31,2019-12-31,252,128.87807407702897,28.87807407702897,6.836103916383496,97.64804435845784,False,0.0,,0,0.0,,,
2019,SLPI,2018-12-31,2019-12-31,252,128.87807407702897,28.87807407702897,6.836103916383496,97.64804435845784,False,0.0,,0,0.0,,,
2019,CPPI,2018-12-31,2019-12-31,252,110.4125408907653,10.4125408907653,2.9563210233625625,99.29252904089921,False,0.0,,251,126.32073439772489,,,
2019,TIPP,2018-12-31,2019-12-31,252,107.4566332387571,7.456633238757107,1.9597950036950418,99.2950728008607,False,0.0,,251,70.91068030769742,,,
2019,Variable m,2018-12-31,2019-12-31,252,111.39858726444045,11.398587264440451,6.1462326816024255,99.51728724998448,False,0.0,,228,631.619581881268,,,
2019,OBPI (model),2018-12-31,2019-12-31,252,132.50513785173737,32.50513785173737,8.822819938499137,98.20718281679854,False,0.0,,0,,0.17050713778154272,6.794019625994125,1.4718827072179328
2020,Buy & Hold,2019-12-31,2020-12-31,253,116.25892199406964,16.258921994069638,33.92495902426057,69.2526263007695,True,20.747373699230494,,0,0.0,,,
2020,SLPI,2019-12-31,2020-12-31,253,85.01228805427795,-14.987711945722054,18.888413094517364,85.01228805427795,True,4.9877119457220545,2020-03-09,1,85.01228805427795,,,
2020,CPPI,2019-12-31,2020-12-31,253,100.76190685975524,0.7619068597552427,8.663796123536482,92.66468468853242,False,0.0,,252,134.88660387266972,,,
2020,TIPP,2019-12-31,2020-12-31,253,100.7647573169417,0.7647573169416972,7.673677788693977,93.59833061334615,False,0.0,,252,117.62124214511326,,,
2020,Variable m,2019-12-31,2020-12-31,253,104.20633516513662,4.206335165136622,7.003544873205558,95.20796780017845,False,0.0,,230,399.2235341885655,,,
2020,OBPI (model),2019-12-31,2020-12-31,253,122.57461686766118,22.574616867661177,14.988303041540652,90.00202245700409,False,0.0,,0,,0.12502354411550934,4.991285717994359,2.0034917985056335
2021,Buy & Hold,2020-12-31,2021-12-31,252,126.89273629085734,26.892736290857343,5.212532648585433,98.52452164097049,False,0.0,,0,0.0,,,
